sample,Cancer Epithelial,T-cells,Myeloid,CAFs,Endothelial,B-cells,Plasmablasts,PVL,Normal Epithelial
V1_Breast_Cancer_Block_A_Section_1,0.5478821992874146,0.05024273321032524,0.10134235769510269,0.07463819533586502,0.02285112999379635,0.033818285912275314,0.00916549563407898,0.018732525408267975,0.14132700860500336
V1_Breast_Cancer_Block_A_Section_2,0.5574756860733032,0.0560775026679039,0.09687841683626175,0.05828844755887985,0.02153943106532097,0.04414841905236244,0.009208309464156628,0.016675936058163643,0.13970787823200226
OUR_COHORT_mean,0.3949413118793626,0.07143253969153811,0.09828118297051681,0.08291087778649461,0.028268291574122834,0.07448753671491103,0.037838247657983694,0.03334291552450638,0.17849709620056384
