,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53
ER+,2.371910603499717,1.6628723286248004,-2.0129344944611662,2.7933366764319687,3.5989484116071013,-3.8515453898072036,-1.924412491891155,-6.144249985978756,3.8502276629269496,2.410727878371468,-1.6323616350122825,0.05066345299890999,-0.8713305135648903,-5.775992041159264
TNBC,1.658969483083993,1.7443157089833536,-0.5333608989873149,3.688222128297566,7.802292009846666,-1.7195926088628286,-2.422076957353934,-3.49775173247087,4.154256858683476,3.7384209651965414,-1.448785773880744,0.18340244067824005,-0.7492581850347602,-6.419231022237663
