niche,TLS
0,-0.03356443417305171
1,-0.04055700867484253
2,-0.0021833174693027006
3,0.06103938812665715
4,0.243356378308732
5,-0.03651235723141962
6,-0.025297057016377602
7,-0.030355879965317183
