sample,subtype,spearman_T_vs_CancerEpi,spearman_T_vs_CAF,spearman_T_vs_dist_to_tumor,pearson_CXCL12nb_vs_CXCR4
1142243F,TNBC,-0.1280091962193253,0.6340166800828078,0.07324768765999447,0.019589437
1160920F,TNBC,-0.25737708167717416,0.5150348483360386,0.2608922298094737,0.11550556
CID4290,ER+,0.6870318534525833,0.5144171076315666,-0.5965248426938654,0.073265284
CID4465,TNBC,0.14362206733397606,0.251239047784367,-0.1451435613173254,0.06290047
CID44971,TNBC,0.3002411220216352,0.5335758209534904,-0.3424003618629738,-0.059428275
CID4535,ER+,-0.1732780998920009,0.7139719227174901,0.08466334360716578,0.34207535
