,Cancer Epithelial,T-cells,Myeloid,CAFs,Endothelial,B-cells,Plasmablasts,PVL,Normal Epithelial
ME1,0.14417847422202074,0.150566692037787,0.6703064791716736,0.0,0.029494378247628617,0.0,0.0,0.005453976296094637,0.0
ME2,0.0,0.37670981056065633,0.0027782312613204526,0.0,0.028585372526547064,0.5739756165801758,0.0,0.01795096906079119,0.0
ME3,0.0,0.0,0.12571203475268167,0.665920770186144,0.08605889091130223,0.0,0.0,0.12230830413377747,0.0
ME4,0.8507939987328598,0.0,0.0032125199713400948,0.005083684631964091,0.0,0.007024602604282529,0.0005986922189284288,0.0,0.13328650182365964
ME5,0.0,0.0,0.005473450737489327,0.0,0.006036579981409828,0.013471174151037928,0.0,0.030780016947940112,0.9442387781502878
ME6,0.021978132094932698,0.13694301124086797,0.13242952213219764,0.0,0.08491342088211595,0.0,0.5370338551175438,0.08670205849446276,0.0
