source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
PVL,Normal Epithelial,CXCL12,ITGB1,0.5931252,0.0,0.32703948,0.0610049624281398,-0.10527465266149127,0.016538268,0.8575603,1.0,0.7362754232995412
Myeloid,Normal Epithelial,TGFB1,CXCR4,0.36078477,1.0,0.06947706,0.0156087794587067,-0.9995068937934948,0.0040673153,0.7350953,1.0,0.7371598675195975
CAFs,Plasmablasts,CXCL12,CXCR3,0.8634926,0.0,0.20961432,0.8631739674633995,1.3136619294689558,0.099106565,0.8281777,0.08162618381234352,0.7382923080629289
PVL,Plasmablasts,CXCL12,ITGB1,0.30550694,1.0,0.076363824,-0.25417505751827485,-0.6422366802204031,0.0038616906,0.74419475,1.0,0.7387435866423303
Endothelial,PVL,CXCL12,ACKR3,0.34762913,0.0,0.06925875,0.3890115317248459,0.48994930822345917,0.09282348,0.7347888,0.10113378304736693,0.7401029245052151
Normal Epithelial,Normal Epithelial,HMGB1,CXCR4,0.9665376,1.0,0.20811477,-0.16313521410562223,-1.2892097427480393,0.002154387,0.8276662,1.0,0.7440999830309283
B-cells,Plasmablasts,MIF,CD74_CXCR4,0.5903989,1.0,0.31272814,-0.3973338044973542,-1.3277929783943474,0.003884895,0.85480547,1.0,0.7443528375387638
Plasmablasts,CAFs,CCL5,SDC1,0.30394801,0.0,0.07659792,0.170519153557978,-0.23058117921978827,0.015304991,0.744486,1.0,0.7460129417854408
Myeloid,Plasmablasts,CCL13,CXCR3,0.14625224,0.0,0.021168206,0.3990724395495177,0.2951495635888941,0.13088642,0.6050094,0.14992034888294467,0.7467050486473972
PVL,Plasmablasts,CXCL12,CXCR4,0.4184278,1.0,0.17478077,-0.054667581873395474,-0.7475521892614119,0.009527352,0.81485915,1.0,0.7494366719155977
CAFs,Cancer Epithelial,CXCL12,CXCR4,0.8528117,0.0,0.17552906,0.5484665756243786,0.03763497153410067,0.009568142,0.81518114,1.0,0.7519541249226759
Plasmablasts,Cancer Epithelial,CCL5,SDC1,0.30196118,0.0,0.0758894,0.16641580572490625,-0.4135726719290119,0.015163423,0.74360114,1.0,0.7572360168798707
Plasmablasts,T-cells,CCL5,CXCR3,0.3019309,0.0,0.07587861,0.3813613408704306,-0.1092209126513839,0.033187084,0.74358755,1.0,0.7576965424205148
B-cells,CAFs,CCL5,SDC1,0.30174202,0.0,0.074702546,0.1681880273504005,-0.27992349298578234,0.014926278,0.7420956,1.0,0.7583875735319076
T-cells,Normal Epithelial,HMGB1,CXCR4,0.829596,1.0,0.17677316,-0.30269651120132435,-1.2374318052879492,0.0018299413,0.8157126,1.0,0.7590790246697527
Normal Epithelial,Normal Epithelial,CXCL14,CXCR4,0.3547646,1.0,0.06809923,-0.028838677186536738,-0.7073171525898724,0.0049762824,0.73314047,1.0,0.7597708959616627
PVL,CAFs,CXCL12,ITGAV,0.42102975,0.0,0.17704853,0.3118430460264591,0.3430970471928443,0.036601283,0.81582963,0.1997454767531981,0.7602324485778806
Plasmablasts,Myeloid,IL15RA,AXL,0.1634242,0.0,0.02141438,0.14967502427962484,0.12230963497164492,0.023806762,0.6063901,0.719273035230062,0.7604871333845175
B-cells,Cancer Epithelial,HMGB1,CXCR4,0.8621068,1.0,0.17757413,-0.26911181389923594,-1.2148393838445295,0.0018382329,0.8160522,1.0,0.761849247161364
PVL,Cancer Epithelial,CXCL12,ITGAV,0.30042815,0.0,0.07193739,0.04834964667134961,-0.00211772187150841,0.014871631,0.7384697,1.0,0.7634681210075909
Endothelial,Myeloid,CXCL12,ITGA4,0.44238716,0.0,0.17818452,0.35080386404363234,0.47665955685532024,0.049771003,0.8163096,0.13971827722381341,0.7655529903595315
Myeloid,Plasmablasts,CXCL12,ITGB1,0.14899549,1.0,0.021511119,-0.44895677972387227,-1.253051245916657,0.0010878093,0.60692793,1.0,0.7680669104662723
PVL,T-cells,CXCL12,CD4,0.29984158,0.0,0.07142615,0.12561975961610278,0.16826048050958695,0.022833947,0.7377804,0.8466280992141655,0.7685713081776673
B-cells,Cancer Epithelial,CCL5,SDC1,0.29975516,0.0,0.074011564,0.16408467951732875,-0.462914985695006,0.014788213,0.74120533,1.0,0.7695014982498731
B-cells,T-cells,CCL5,CXCR3,0.2997249,0.0,0.07400104,0.37903021466285314,-0.15856322641737797,0.03236589,0.7411916,1.0,0.7697343254330554
